Ville,Température
Sainte-Geneviève-des-Bois,5.16
city,temp
Sainte-Foy-lès-Lyon,0.14
city,temp
Saint-Égrève,6.61
city,temp
Saint-Dié-des-Vosges,0.94
city,temp
Saint-Cyr-l'École,4.91
city,temp
Saint-Cloud,5.21
city,temp
Saint-Chamond,0.78
city,temp
Saint-Chamond,0.74
city,temp
Saint-Amand-les-Eaux,6.05
city,temp
Rueil-Malmaison,5.48
city,temp
Royan,2.03
city,temp
Rouen,7.22
city,temp
Ronchin,6.18
city,temp
Romans-sur-Isère,2.08
city,temp
Romainville,5.12
city,temp
Roissy-en-Brie,4.97
city,temp
Ris-Orangis,5.19
city,temp
Rillieux-la-Pape,0.11
city,temp
Rillieux-la-Pape,0.13
city,temp
Rennes,7
city,temp
Puteaux,5.61
city,temp
Port-de-Bouc,11.68
city,temp
Port-de-Bouc,11.57
city,temp
Pont-à-Mousson,3.6
city,temp
Poissy,5.69
city,temp
Ploemeur,7.68
city,temp
Plaisir,5.08
city,temp
Plaisance-du-Touch,12.93
city,temp
Plaisance-du-Touch,12.9
city,temp
Pierrefitte-sur-Seine,5.62
city,temp
Arrondissement d'Apt,7.56
city,temp
Pertuis,10.65
city,temp
Pantin,5.56
city,temp
Pantin,5.52
city,temp
Oyonnax,-0.03
city,temp
Oyonnax,1
city,temp
Osny,5.46
city,temp
Orvault,6.03
city,temp
Orsay,5.29
city,temp
Orly,5.46
city,temp
Olivet,4.36
city,temp
Olivet,4.35
city,temp
Noisy-le-Sec,5.41
city,temp
Noisy-le-Grand,5.32
city,temp
Noisiel,5.35
city,temp
Nogent-sur-Marne,5.5
city,temp
Niort,1.98
city,temp
Nîmes,9.89
city,temp
Nice,13.82
city,temp
Neuilly-sur-Seine,5.6
city,temp
Neuilly-sur-Marne,5.54
city,temp
Neuilly-Plaisance,5.41
city,temp
Nancy,2.23
city,temp
Muret,12.54
city,temp
Muret,12.54
city,temp
Mougins,13.6
city,temp
Mont-Saint-Aignan,6.33
city,temp
Montrouge,5.37
city,temp
Montivilliers,7.07
city,temp
Montigny-lès-Metz,4.75
city,temp
Montigny-lès-Cormeilles,5.45
city,temp
Montigny-le-Bretonneux,4.73
city,temp
Montgeron,5.18
city,temp
Montfermeil,5.12
city,temp
Montesson,5.59
city,temp
Montereau-Fault-Yonne,4.91
city,temp
Montereau-Fault-Yonne,4.91
city,temp
Montceau-les-Mines,0.51
city,temp
Montbrison,0.49
city,temp
Montbrison,0.49
city,temp
Montauban,13.85
city,temp
Mons-en-Barœul,6.28
city,temp
Moissy-Cramayel,5.01
city,temp
Mitry-Mory,5.35
city,temp
Miramas,10.94
city,temp
Millau,12.38
city,temp
Meyzieu,0.8
city,temp
Meylan,6.9
city,temp
Metz,4.75
city,temp
Melun,5.11
city,temp
Meaux,5.43
city,temp
Arrondissement de Mayenne,5.69
city,temp
Mayenne,5.95
city,temp
Mauguio,10.79
city,temp
Maubeuge,5.03
city,temp
Massy,5.15
city,temp
Martigues,11.66
city,temp
Marly-le-Roi,4.8
city,temp
Marcq-en-Barœul,6.37
city,temp
Mantes-la-Ville,5.55
city,temp
Mandelieu-la-Napoule,14.16
city,temp
Malakoff,5.4
city,temp
Mâcon,1.32
city,temp
Lunel,10.86
city,temp
Lunel,10.87
city,temp
Lourdes,15.71
city,temp
Lorient,7.89
city,temp
Lons-le-Saunier,2.49
city,temp
Lognes,5.05
city,temp
Livry-Gargan,5.16
city,temp
L'Isle-sur-la-Sorgue,8.1
city,temp
L'Isle-sur-la-Sorgue,8.09
city,temp
Limay,5.78
city,temp
Liévin,6.19
city,temp
L'Haÿ-les-Roses,5.39
city,temp
Le Vésinet,5.67
city,temp
Levallois-Perret,5.69
city,temp
Les Sables-d'Olonne,4.54
city,temp
Les Pennes-Mirabeau,11.01
city,temp
Les Pennes-Mirabeau,11.09
city,temp
Les Mureaux,5.75
city,temp
Les Lilas,5.08
city,temp
Les Herbiers,4.03
city,temp
Les Clayes-sous-Bois,4.81
city,temp
Le Puy-en-Velay,-0.51
city,temp
Le Pré-Saint-Gervais,5.37
city,temp
Le Pontet,8.26
city,temp
Le Plessis-Trévise,5.08
city,temp
Le Plessis-Robinson,4.97
city,temp
Le Petit-Quevilly,7.25
city,temp
Le Perreux-sur-Marne,5.46
city,temp
Le Pecq,5.32
city,temp
Lens,6.22
city,temp
Le Mée-sur-Seine,5.12
city,temp
Le Kremlin-Bicêtre,5.43
city,temp
Le Grand-Quevilly,6.98
city,temp
Arrondissement d'Autun,-0.21
city,temp
Le Creusot,0.3
city,temp
Le Chesnay-Rocquencourt,5
city,temp
Le Cannet,14.25
city,temp
Le Bouscat,9.79
city,temp
Le Blanc-Mesnil,5.62
city,temp
Laxou,1.97
city,temp
Laxou,1.97
city,temp
Lanester,7.95
city,temp
Lambersart,6.35
city,temp
La Madeleine,6.33
city,temp
